,TravelTime,Img_name
0,2.0,flow_1018_0.jpg
1,4.0,flow_1018_1.jpg
2,3.0,flow_1018_2.jpg
3,3.0,flow_1018_3.jpg
4,2.0,flow_1018_4.jpg
13,1.0,flow_1018_13.jpg
14,3.0,flow_1018_14.jpg
15,4.0,flow_1018_15.jpg
18,4.0,flow_1018_18.jpg
19,4.0,flow_1018_19.jpg
20,4.0,flow_1018_20.jpg
22,3.0,flow_1018_22.jpg
28,3.0,flow_1018_28.jpg
31,4.0,flow_1018_31.jpg
32,4.0,flow_1018_32.jpg
33,4.0,flow_1018_33.jpg
34,4.0,flow_1018_34.jpg
35,9.0,flow_1018_35.jpg
36,6.0,flow_1018_36.jpg
39,4.0,flow_1018_39.jpg
41,3.0,flow_1018_41.jpg
42,3.0,flow_1018_42.jpg
43,4.0,flow_1018_43.jpg
44,3.0,flow_1018_44.jpg
47,3.0,flow_1018_47.jpg
48,4.0,flow_1018_48.jpg
49,2.0,flow_1018_49.jpg
50,3.0,flow_1018_50.jpg
51,2.0,flow_1018_51.jpg
52,2.0,flow_1018_52.jpg
53,3.0,flow_1018_53.jpg
54,2.0,flow_1018_54.jpg
55,3.0,flow_1018_55.jpg
56,2.0,flow_1018_56.jpg
57,2.0,flow_1018_57.jpg
58,3.0,flow_1018_58.jpg
59,4.0,flow_1018_59.jpg
60,1.0,flow_1018_60.jpg
61,1.0,flow_1018_61.jpg
62,2.0,flow_1018_62.jpg
63,3.0,flow_1018_63.jpg
64,2.0,flow_1018_64.jpg
65,2.0,flow_1018_65.jpg
66,2.0,flow_1018_66.jpg
67,1.0,flow_1018_67.jpg
68,3.0,flow_1018_68.jpg
69,3.0,flow_1018_69.jpg
70,2.0,flow_1018_70.jpg
71,2.0,flow_1018_71.jpg
72,3.0,flow_1018_72.jpg
73,4.0,flow_1018_73.jpg
74,5.0,flow_1018_74.jpg
75,7.0,flow_1018_75.jpg
76,9.0,flow_1018_76.jpg
77,8.0,flow_1018_77.jpg
78,7.0,flow_1018_78.jpg
79,5.0,flow_1018_79.jpg
80,3.0,flow_1018_80.jpg
81,3.0,flow_1018_81.jpg
82,2.0,flow_1018_82.jpg
83,2.0,flow_1018_83.jpg
84,2.0,flow_1018_84.jpg
85,2.0,flow_1018_85.jpg
86,2.0,flow_1018_86.jpg
87,3.0,flow_1018_87.jpg
88,4.0,flow_1018_88.jpg
89,2.0,flow_1018_89.jpg
90,2.0,flow_1018_90.jpg
91,2.0,flow_1018_91.jpg
92,2.0,flow_1018_92.jpg
93,1.0,flow_1018_93.jpg
94,3.0,flow_1018_94.jpg
95,2.0,flow_1018_95.jpg
96,3.0,flow_1018_96.jpg
97,3.0,flow_1018_97.jpg
98,2.0,flow_1018_98.jpg
99,2.0,flow_1018_99.jpg
100,2.0,flow_1018_100.jpg
101,2.0,flow_1018_101.jpg
102,2.0,flow_1018_102.jpg
103,2.0,flow_1018_103.jpg
104,2.0,flow_1018_104.jpg
105,2.0,flow_1018_105.jpg
106,3.0,flow_1018_106.jpg
107,2.0,flow_1018_107.jpg
108,2.0,flow_1018_108.jpg
109,2.0,flow_1018_109.jpg
110,3.0,flow_1018_110.jpg
111,2.0,flow_1018_111.jpg
112,2.0,flow_1018_112.jpg
113,2.0,flow_1018_113.jpg
114,3.0,flow_1018_114.jpg
115,2.0,flow_1018_115.jpg
116,2.0,flow_1018_116.jpg
117,2.0,flow_1018_117.jpg
120,2.0,flow_1018_120.jpg
124,2.0,flow_1018_124.jpg
130,3.0,flow_1018_130.jpg
131,3.0,flow_1018_131.jpg
132,3.0,flow_1018_132.jpg
133,2.0,flow_1018_133.jpg
134,3.0,flow_1018_134.jpg
135,3.0,flow_1018_135.jpg
136,3.0,flow_1018_136.jpg
137,3.0,flow_1018_137.jpg
138,4.0,flow_1018_138.jpg
139,3.0,flow_1018_139.jpg
140,2.0,flow_1018_140.jpg
141,2.0,flow_1018_141.jpg
142,2.0,flow_1018_142.jpg
143,2.0,flow_1018_143.jpg
144,2.0,flow_1018_144.jpg
145,2.0,flow_1018_145.jpg
146,3.0,flow_1018_146.jpg
147,2.0,flow_1018_147.jpg
148,3.0,flow_1018_148.jpg
149,3.0,flow_1018_149.jpg
150,3.0,flow_1018_150.jpg
151,3.0,flow_1018_151.jpg
152,3.0,flow_1018_152.jpg
153,2.0,flow_1018_153.jpg
154,2.0,flow_1018_154.jpg
155,3.0,flow_1018_155.jpg
156,3.0,flow_1018_156.jpg
157,3.0,flow_1018_157.jpg
158,5.0,flow_1018_158.jpg
159,9.0,flow_1018_159.jpg
160,9.0,flow_1018_160.jpg
161,9.0,flow_1018_161.jpg
162,9.0,flow_1018_162.jpg
163,9.0,flow_1018_163.jpg
164,9.0,flow_1018_164.jpg
165,9.0,flow_1018_165.jpg
166,9.0,flow_1018_166.jpg
167,9.0,flow_1018_167.jpg
168,9.0,flow_1018_168.jpg
169,9.0,flow_1018_169.jpg
170,9.0,flow_1018_170.jpg
171,9.0,flow_1018_171.jpg
172,9.0,flow_1018_172.jpg
173,9.0,flow_1018_173.jpg
174,9.0,flow_1018_174.jpg
175,9.0,flow_1018_175.jpg
176,9.0,flow_1018_176.jpg
177,9.0,flow_1018_177.jpg
178,9.0,flow_1018_178.jpg
179,9.0,flow_1018_179.jpg
180,9.0,flow_1018_180.jpg
181,9.0,flow_1018_181.jpg
182,9.0,flow_1018_182.jpg
183,9.0,flow_1018_183.jpg
184,9.0,flow_1018_184.jpg
185,9.0,flow_1018_185.jpg
186,9.0,flow_1018_186.jpg
187,9.0,flow_1018_187.jpg
188,9.0,flow_1018_188.jpg
189,9.0,flow_1018_189.jpg
190,9.0,flow_1018_190.jpg
191,9.0,flow_1018_191.jpg
192,9.0,flow_1018_192.jpg
193,9.0,flow_1018_193.jpg
194,9.0,flow_1018_194.jpg
195,9.0,flow_1018_195.jpg
196,9.0,flow_1018_196.jpg
197,9.0,flow_1018_197.jpg
198,9.0,flow_1018_198.jpg
199,9.0,flow_1018_199.jpg
200,9.0,flow_1018_200.jpg
201,9.0,flow_1018_201.jpg
202,9.0,flow_1018_202.jpg
203,9.0,flow_1018_203.jpg
204,9.0,flow_1018_204.jpg
205,9.0,flow_1018_205.jpg
206,9.0,flow_1018_206.jpg
207,9.0,flow_1018_207.jpg
208,9.0,flow_1018_208.jpg
209,9.0,flow_1018_209.jpg
210,9.0,flow_1018_210.jpg
211,9.0,flow_1018_211.jpg
212,9.0,flow_1018_212.jpg
213,7.0,flow_1018_213.jpg
214,5.0,flow_1018_214.jpg
215,2.0,flow_1018_215.jpg
216,2.0,flow_1018_216.jpg
217,2.0,flow_1018_217.jpg
