Unnamed: 0,TravelTime,Img_name
6,1.0,observation_1016_6.jpg
9,2.0,observation_1016_9.jpg
27,3.0,observation_1016_27.jpg
28,3.0,observation_1016_28.jpg
32,2.0,observation_1016_32.jpg
33,2.0,observation_1016_33.jpg
35,2.0,observation_1016_35.jpg
38,3.0,observation_1016_38.jpg
39,2.0,observation_1016_39.jpg
42,0.0,observation_1016_42.jpg
44,0.0,observation_1016_44.jpg
45,2.0,observation_1016_45.jpg
47,1.0,observation_1016_47.jpg
48,1.0,observation_1016_48.jpg
49,1.0,observation_1016_49.jpg
50,1.0,observation_1016_50.jpg
51,1.0,observation_1016_51.jpg
52,1.0,observation_1016_52.jpg
53,1.0,observation_1016_53.jpg
54,0.0,observation_1016_54.jpg
55,1.0,observation_1016_55.jpg
56,0.0,observation_1016_56.jpg
57,1.0,observation_1016_57.jpg
59,0.0,observation_1016_59.jpg
60,0.0,observation_1016_60.jpg
61,1.0,observation_1016_61.jpg
62,2.0,observation_1016_62.jpg
63,2.0,observation_1016_63.jpg
64,0.0,observation_1016_64.jpg
65,1.0,observation_1016_65.jpg
66,0.0,observation_1016_66.jpg
67,1.0,observation_1016_67.jpg
68,1.0,observation_1016_68.jpg
69,2.0,observation_1016_69.jpg
70,2.0,observation_1016_70.jpg
71,2.0,observation_1016_71.jpg
72,1.0,observation_1016_72.jpg
73,2.0,observation_1016_73.jpg
74,4.0,observation_1016_74.jpg
75,5.0,observation_1016_75.jpg
76,5.0,observation_1016_76.jpg
77,3.0,observation_1016_77.jpg
78,3.0,observation_1016_78.jpg
79,2.0,observation_1016_79.jpg
80,2.0,observation_1016_80.jpg
81,2.0,observation_1016_81.jpg
82,2.0,observation_1016_82.jpg
83,2.0,observation_1016_83.jpg
84,2.0,observation_1016_84.jpg
85,2.0,observation_1016_85.jpg
86,1.0,observation_1016_86.jpg
87,1.0,observation_1016_87.jpg
88,2.0,observation_1016_88.jpg
89,2.0,observation_1016_89.jpg
90,2.0,observation_1016_90.jpg
